P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
1.0,1.0,0.01694915254237288,1.0,1.0,1.0,0.03389830508474576,1.0,0.6666666666666666,1.0,0.03389830508474576,0.7653606369886217,0.5,1.0,0.03389830508474576,0.6366824387328317,0.6,1.0,0.05084745762711865,0.6843515475204855,0.6666666666666666,1.0,0.06779661016949153,0.7183750273402227,0.5714285714285714,1.0,0.06779661016949153,0.652553596282728,0.625,1.0,0.0847457627118644,0.6802779217425299,0.5555555555555556,1.0,0.0847457627118644,0.6321443398878814,0.6,1.0,0.1016949152542373,0.6555476069276601,0.6363636363636364,1.0,0.11864406779661017,0.6754714057165484,0.6666666666666666,1.0,0.13559322033898305,0.6926919983312432,0.6153846153846154,1.0,0.13559322033898305,0.6587196392320908,0.5714285714285714,1.0,0.13559322033898305,0.6286725671522698,0.5333333333333333,1.0,0.13559322033898305,0.6018582333435067,0.5625,1.0,0.15254237288135594,0.6178106772250791,0.5294117647058824,1.0,0.15254237288135594,0.5944631961511798,0.5555555555555556,1.0,0.1694915254237288,0.6089691660904523,0.5263157894736842,1.0,0.1694915254237288,0.5882865726416788,0.5,1.0,0.1694915254237288,0.5692623901769451,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
1.0,1.0,0.025,1.0,1.0,1.0,0.05,1.0,0.6666666666666666,1.0,0.05,0.7653606369886217,0.5,1.0,0.05,0.6366824387328317,0.4,1.0,0.05,0.5531464700081437,0.5,1.0,0.075,0.601312434202259,0.42857142857142855,1.0,0.075,0.546216915252498,0.5,1.0,0.1,0.5824263271073693,0.4444444444444444,1.0,0.1,0.5412163092689025,0.4,1.0,0.1,0.5067837010870873,0.45454545454545453,1.0,0.125,0.5353122945780237,0.4166666666666667,1.0,0.125,0.5069068008589894,0.38461538461538464,1.0,0.125,0.4820460836714507,0.35714285714285715,1.0,0.125,0.46005786203780324,0.3333333333333333,1.0,0.125,0.4404353339865043,0.3125,1.0,0.125,0.4227883033625025,0.29411764705882354,1.0,0.125,0.4068108489822089,0.2777777777777778,1.0,0.125,0.3922593067046657,0.2631578947368421,1.0,0.125,0.37893689200975605,0.25,1.0,0.125,0.36668272046910516,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
1.0,1.0,0.05263157894736842,1.0,0.5,1.0,0.05263157894736842,0.6131471927654584,0.6666666666666666,1.0,0.10526315789473684,0.7039180890341347,0.5,1.0,0.10526315789473684,0.5855700749881525,0.4,1.0,0.10526315789473684,0.5087403079104241,0.3333333333333333,1.0,0.10526315789473684,0.4539036202482202,0.2857142857142857,1.0,0.10526315789473684,0.41231449937143627,0.25,1.0,0.10526315789473684,0.37941405415148566,0.2222222222222222,1.0,0.10526315789473684,0.35256832412172806,0.2,1.0,0.10526315789473684,0.33013764944712026,0.18181818181818182,1.0,0.10526315789473684,0.3110418433719987,0.16666666666666666,1.0,0.10526315789473684,0.2945369036989339,0.15384615384615385,1.0,0.10526315789473684,0.28009164738802195,0.21428571428571427,1.0,0.15789473684210525,0.3129298032186482,0.2,1.0,0.15789473684210525,0.2995826259428454,0.1875,1.0,0.15789473684210525,0.2875791753418674,0.17647058823529413,1.0,0.15789473684210525,0.2767113648603472,0.16666666666666666,1.0,0.15789473684210525,0.2668134549729486,0.15789473684210525,1.0,0.15789473684210525,0.2577515935140247,0.2,1.0,0.21052631578947367,0.2911705981646226,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.04,0.04561435592667119,0.06666666666666667,1.0,0.04,0.04366879852493834,0.0625,1.0,0.04,0.04191911005669532,0.058823529411764705,1.0,0.04,0.040334958690002705,0.05555555555555555,1.0,0.04,0.038892185327126634,0.05263157894736842,1.0,0.04,0.03757127894590629,0.05,1.0,0.04,0.036356287988538835,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.02564102564102564,0.23463936301137822,0.25,1.0,0.02564102564102564,0.19519002499605084,0.2,1.0,0.02564102564102564,0.16958010263680806,0.16666666666666666,1.0,0.02564102564102564,0.15130120674940672,0.14285714285714285,1.0,0.02564102564102564,0.13743816645714543,0.125,1.0,0.02564102564102564,0.12647135138382856,0.1111111111111111,1.0,0.02564102564102564,0.11752277470724268,0.1,1.0,0.02564102564102564,0.11004588314904008,0.09090909090909091,1.0,0.02564102564102564,0.1036806144573329,0.16666666666666666,1.0,0.05128205128205128,0.15124237407720273,0.23076923076923078,1.0,0.07692307692307693,0.19286880967261547,0.21428571428571427,1.0,0.07692307692307693,0.18407122314105537,0.2,1.0,0.07692307692307693,0.17622016126913487,0.1875,1.0,0.07692307692307693,0.16915950481740194,0.17647058823529413,1.0,0.07692307692307693,0.16276685334214164,0.16666666666666666,1.0,0.07692307692307693,0.15694471572286092,0.15789473684210525,1.0,0.07692307692307693,0.1516143575865557,0.15,1.0,0.07692307692307693,0.1467114083486562,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.015384615384615385,0.06362078819895171,0.09090909090909091,1.0,0.015384615384615385,0.05994083762128166,0.08333333333333333,1.0,0.015384615384615385,0.056760172607960534,0.07692307692307693,1.0,0.015384615384615385,0.05397642893687311,0.07142857142857142,1.0,0.015384615384615385,0.051514328895695904,0.06666666666666667,1.0,0.015384615384615385,0.0493171240499355,0.0625,1.0,0.015384615384615385,0.04734112273659951,0.058823529411764705,1.0,0.015384615384615385,0.0455520698635181,0.05555555555555555,1.0,0.015384615384615385,0.043922681482881344,0.05263157894736842,1.0,0.015384615384615385,0.042430922926167375,0.05,1.0,0.015384615384615385,0.04105877938688906,bm25
1.0,1.0,0.017543859649122806,1.0,0.5,1.0,0.017543859649122806,0.6131471927654584,0.3333333333333333,1.0,0.017543859649122806,0.46927872602275644,0.5,1.0,0.03508771929824561,0.5585075862632192,0.4,1.0,0.03508771929824561,0.48522855511632257,0.3333333333333333,1.0,0.03508771929824561,0.4329261794091841,0.42857142857142855,1.0,0.05263157894736842,0.4848845701744174,0.375,1.0,0.05263157894736842,0.4461934296412987,0.3333333333333333,1.0,0.05263157894736842,0.41462267409828063,0.3,1.0,0.05263157894736842,0.388244052766991,0.36363636363636365,1.0,0.07017543859649122,0.4236292109070201,0.3333333333333333,1.0,0.07017543859649122,0.40115000201998247,0.38461538461538464,1.0,0.08771929824561403,0.4305199777478892,0.35714285714285715,1.0,0.08771929824561403,0.4108820862493544,0.3333333333333333,1.0,0.08771929824561403,0.39335701836443326,0.3125,1.0,0.08771929824561403,0.3775962861670118,0.29411764705882354,1.0,0.08771929824561403,0.3633266685157662,0.2777777777777778,1.0,0.08771929824561403,0.3503305466308818,0.2631578947368421,1.0,0.08771929824561403,0.3384321703712588,0.25,1.0,0.08771929824561403,0.32748785231183525,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
